Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	c1	combined	Drop	0	0	0	0
1	c2	combined	Drop	0	0	0	0
1	c3	combined	Drop	0	0	0	0
1	c4	combined	Drop	0	0	0	0
1	c5	combined	Drop	0	0	0	0
1	c6	combined	Drop	0	0	0	0
1	c7	combined	Drop	0	0	0	0
1	c8	combined	Drop	0	0	0	0
1	c9	combined	Drop	0	0	0	0
1	c10	combined	Drop	0	0	0	0
1	c11	combined	Drop	0	0	0	0
1	c12	combined	Drop	0	0	0	0
1	c13	combined	Drop	0	0	0	0
1	c14	combined	Drop	0	0	0	0
1	c15	combined	Drop	0	0	0	0
1	c16	combined	Drop	0	0	0	0
1	c17	combined	Drop	0	0	0	0
1	c18	combined	Drop	0	0	0	0
1	n1	combined	Drop	0	0	0	0
1	n2	combined	Drop	0	0	0	0
1	n3	combined	Drop	0	0	0	0
1	n4	combined	Drop	0	0	0	0
1	n5	combined	Drop	0	0	0	0
1	n6	combined	Drop	0	0	0	0
1	n7	combined	Drop	0	0	0	0
1	n8	combined	Drop	0	0	0	0
1	n9	combined	Drop	0	0	0	0
1	p1	combined	Drop	0	0	0	0
1	p2	combined	Drop	0	0	0	0
1	p3	combined	Drop	0	0	0	0
1	p4	combined	Drop	0	0	0	0
2	c1	combined	Drop	0	0	0	0
2	c2	combined	Drop	0	0	0	0
2	c3	combined	Drop	0	0	0	0
2	c4	combined	Drop	0	0	0	0
2	c5	combined	Drop	0	0	0	0
2	c6	combined	Drop	0	0	0	0
2	c7	combined	Drop	0	0	0	0
2	c8	combined	Drop	0	0	0	0
2	c9	combined	Drop	0	0	0	0
2	c10	combined	Drop	0	0	0	0
2	c11	combined	Drop	0	0	0	0
2	c12	combined	Drop	0	0	0	0
2	c13	combined	Drop	0	0	0	0
2	c14	combined	Drop	0	0	0	0
2	c15	combined	Drop	0	0	0	0
2	c16	combined	Drop	0	0	0	0
2	c17	combined	Drop	0	0	0	0
2	c18	combined	Drop	0	0	0	0
2	n1	combined	Drop	0	0	0	0
2	n2	combined	Drop	0	0	0	0
2	n3	combined	Drop	0	0	0	0
2	n4	combined	Drop	0	0	0	0
2	n5	combined	Drop	0	0	0	0
2	n6	combined	Drop	0	0	0	0
2	n7	combined	Drop	0	0	0	0
2	n8	combined	Drop	0	0	0	0
2	n9	combined	Drop	0	0	0	0
2	p1	combined	Drop	0	0	0	0
2	p2	combined	Drop	0	0	0	0
2	p3	combined	Drop	0	0	0	0
2	p4	combined	Drop	0	0	0	0
3	c1	combined	Drop	0	0	0	0
3	c2	combined	Drop	0	0	0	0
3	c3	combined	Drop	0	0	0	0
3	c4	combined	Drop	0	0	0	0
3	c5	combined	Drop	0	0	0	0
3	c6	combined	Drop	0	0	0	0
3	c7	combined	Drop	0	0	0	0
3	c8	combined	Drop	0	0	0	0
3	c9	combined	Drop	0	0	0	0
3	c10	combined	Drop	0	0	0	0
3	c11	combined	Drop	0	0	0	0
3	c12	combined	Drop	0	0	0	0
3	c13	combined	Drop	0	0	0	0
3	c14	combined	Drop	0	0	0	0
3	c15	combined	Drop	0	0	0	0
3	c16	combined	Drop	0	0	0	0
3	c17	combined	Drop	0	0	0	0
3	c18	combined	Drop	0	0	0	0
3	n1	combined	Drop	0	0	0	0
3	n2	combined	Drop	0	0	0	0
3	n3	combined	Drop	0	0	0	0
3	n4	combined	Drop	0	0	0	0
3	n5	combined	Drop	0	0	0	0
3	n6	combined	Drop	0	0	0	0
3	n7	combined	Drop	0	0	0	0
3	n8	combined	Drop	0	0	0	0
3	n9	combined	Drop	0	0	0	0
3	p1	combined	Drop	268	281	336	352.145
3	p2	combined	Drop	0	0	0	0
3	p3	combined	Drop	0	0	0	0
3	p4	combined	Drop	0	0	0	0
4	c1	combined	Drop	0	0	0	0
4	c2	combined	Drop	0	0	0	0
4	c3	combined	Drop	0	0	0	0
4	c4	combined	Drop	0	0	0	0
4	c5	combined	Drop	0	0	0	0
4	c6	combined	Drop	0	0	0	0
4	c7	combined	Drop	0	0	0	0
4	c8	combined	Drop	0	0	0	0
4	c9	combined	Drop	0	0	0	0
4	c10	combined	Drop	0	0	0	0
4	c11	combined	Drop	0	0	0	0
4	c12	combined	Drop	0	0	0	0
4	c13	combined	Drop	0	0	0	0
4	c14	combined	Drop	0	0	0	0
4	c15	combined	Drop	0	0	0	0
4	c16	combined	Drop	0	0	0	0
4	c17	combined	Drop	0	0	0	0
4	c18	combined	Drop	0	0	0	0
4	n1	combined	Drop	0	0	0	0
4	n2	combined	Drop	0	0	0	0
4	n3	combined	Drop	0	0	0	0
4	n4	combined	Drop	0	0	0	0
4	n5	combined	Drop	0	0	0	0
4	n6	combined	Drop	0	0	0	0
4	n7	combined	Drop	0	0	0	0
4	n8	combined	Drop	0	0	0	0
4	n9	combined	Drop	0	0	0	0
4	p1	combined	Drop	324	339	338	354.401
4	p2	combined	Drop	0	0	0	0
4	p3	combined	Drop	0	0	0	0
4	p4	combined	Drop	0	0	0	0
5	c1	combined	Drop	0	0	0	0
5	c2	combined	Drop	0	0	0	0
5	c3	combined	Drop	0	0	0	0
5	c4	combined	Drop	0	0	0	0
5	c5	combined	Drop	0	0	0	0
5	c6	combined	Drop	0	0	0	0
5	c7	combined	Drop	0	0	0	0
5	c8	combined	Drop	0	0	0	0
5	c9	combined	Drop	0	0	0	0
5	c10	combined	Drop	0	0	0	0
5	c11	combined	Drop	0	0	0	0
5	c12	combined	Drop	0	0	0	0
5	c13	combined	Drop	0	0	0	0
5	c14	combined	Drop	0	0	0	0
5	c15	combined	Drop	0	0	0	0
5	c16	combined	Drop	0	0	0	0
5	c17	combined	Drop	0	0	0	0
5	c18	combined	Drop	0	0	0	0
5	n1	combined	Drop	0	0	0	0
5	n2	combined	Drop	0	0	0	0
5	n3	combined	Drop	0	0	0	0
5	n4	combined	Drop	0	0	0	0
5	n5	combined	Drop	0	0	0	0
5	n6	combined	Drop	0	0	0	0
5	n7	combined	Drop	0	0	0	0
5	n8	combined	Drop	0	0	0	0
5	n9	combined	Drop	0	0	0	0
5	p1	combined	Drop	288	302	280	293.586
5	p2	combined	Drop	150	157	188	197.1
5	p3	combined	Drop	52	54	65	68.1562
5	p4	combined	Drop	0	0	0	0
6	c1	combined	Drop	0	0	0	0
6	c2	combined	Drop	0	0	0	0
6	c3	combined	Drop	0	0	0	0
6	c4	combined	Drop	0	0	0	0
6	c5	combined	Drop	0	0	0	0
6	c6	combined	Drop	0	0	0	0
6	c7	combined	Drop	0	0	0	0
6	c8	combined	Drop	0	0	0	0
6	c9	combined	Drop	0	0	0	0
6	c10	combined	Drop	0	0	0	0
6	c11	combined	Drop	0	0	0	0
6	c12	combined	Drop	0	0	0	0
6	c13	combined	Drop	0	0	0	0
6	c14	combined	Drop	0	0	0	0
6	c15	combined	Drop	0	0	0	0
6	c16	combined	Drop	0	0	0	0
6	c17	combined	Drop	0	0	0	0
6	c18	combined	Drop	0	0	0	0
6	n1	combined	Drop	0	0	0	0
6	n2	combined	Drop	0	0	0	0
6	n3	combined	Drop	0	0	0	0
6	n4	combined	Drop	0	0	0	0
6	n5	combined	Drop	0	0	0	0
6	n6	combined	Drop	0	0	0	0
6	n7	combined	Drop	0	0	0	0
6	n8	combined	Drop	0	0	0	0
6	n9	combined	Drop	0	0	0	0
6	p1	combined	Drop	298	312	301	315.608
6	p2	combined	Drop	164	172	168	176.13
6	p3	combined	Drop	91	95	101	105.904
6	p4	combined	Drop	73	77	92	96.4551
7	c1	combined	Drop	0	0	0	0
7	c2	combined	Drop	0	0	0	0
7	c3	combined	Drop	0	0	0	0
7	c4	combined	Drop	0	0	0	0
7	c5	combined	Drop	0	0	0	0
7	c6	combined	Drop	0	0	0	0
7	c7	combined	Drop	0	0	0	0
7	c8	combined	Drop	0	0	0	0
7	c9	combined	Drop	0	0	0	0
7	c10	combined	Drop	0	0	0	0
7	c11	combined	Drop	0	0	0	0
7	c12	combined	Drop	0	0	0	0
